attr_typename,data variables,data variables,data variables,variable:threshold,data variables,global,global,global,global,global,global,global,global,global,global,global,global,global
diff-tasmin,difference in minimum air temperature,,degC,,differanse i minimumstemperatur,"Endring i gjennomsnittet av hvert døgns laveste lufttemperatur (ca 2 meter over bakken) mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100.","Change in the average of each day's lowest air temperature (approx. 2 meters above the ground) for year or season, between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. ",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i minimumstemperatur for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal difference in minimum air temperature averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.",Andreas Dobler,Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC TEMPERATURE > SURFACE TEMPERATURE > MAXIMUM/MINIMUM TEMPERATURE > 24 HOUR MINIMUM TEMPERATURE, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-dtr,difference in daily air temperature range,,degC,,differanse i døgnlig temperaturspenn,"Endring i gjennomsnittlig forskjell mellom minimumstemperatur og maximumstemperatur (ca 2 meter over bakken) mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100.","Change in the average difference between maximum and minimum temperature (approx. 2 meters above the ground) for year or season, between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. ",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i døgnlig temperaturspenn for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal difference in daily air temperature range averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.",Andreas Dobler,Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-dzc,difference in days with zero-crossings,,1,0,differanse i nullgradspasseringer,"Endring i antall dager som lufttemperaturen krysser null grader (tasmax>0 og tasmin<0)  mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100.","Change in the number of days with air temperature crossing zero degrees (tasmax>0 og tasmin<0) for year or season, between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. ",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i nullgradspasseringer for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal difference in days with zero-crossings averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.",Andreas Dobler,Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-fd,difference in frost days,,1,0,differanse i frostdager,"Endring i antall dager med minimumstemperatur under null (tasmin<=0 °C) mellom referanseperioden (1991-2020) og en fremtidsperiode, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. ","Change in the number of days with minimum temperature below zero (tasmin<=0 °C) between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. ",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i frostdager for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal difference in frost days averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.",Andreas Dobler,Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-tasmin20ge,difference in tropical nights,,1,20,differanse i tropenattsdøgn ,"Endring i antall døgn med minimumstemperatur over eller lik 20 grader (tasmin>=20 °C) mellom referanseperioden (1991-2020) og en fremtidsperiode, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100.","Change in the number of days with minimum temperature above or equal to 20 degrees (tasmin>=20 °C) between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. ",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i tropenattsdøgn for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal difference in tropical nights averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.",Andreas Dobler,Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-tasmax20ge,difference in nordic summer days,,1,20,differanse i nordiske sommerdager,"Endring i antall dager med maksimumstemperatur over eller lik 20 grader (tasmax>=20 °C) mellom referanseperioden (1991-2020) og en fremtidsperiode, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. ","Change in the number of days with maximum temperature above or equal to 20 degrees (tasmax>=20 °C) between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. ",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i nordiske sommerdager for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal difference in nordic summer days averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.",Andreas Dobler,Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-norheatwave,difference in Norwegian heatwave events,,1,27,differanse i norske hetebølger,"Endring i antall hendelser med maksimumstemperatur over eller like 27 grader (tasmax>=27°C) fem dager på rad mellom referanseperioden (1991-2020) og en fremtidsperiode, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. ","Change in the number of events with maximum temperature above or equal to 27 degrees (tasmax>=27°C) five days in a row between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. ",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i norske hetebølger for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal difference in Norwegian heatwave events averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.",Andreas Dobler,Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > ATMOSPHERE > WEATHER EVENTS > HEAT WAVE, GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
change-pr,change in precipitation amount,,%,,endring i nedbørsum,"Prosentvis endring i gjennomsnittlig nedbørsum mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100.","Percentage change in mean precipitation sum for year or season, between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. ",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"endring i nedbørsum for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal change in precipitation amount averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.","Julia Lutz, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > PRECIPITATION INDICES, GCMDSK:EARTH SCIENCE > ATMOSPHERE > PRECIPITATION, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-pr1mm,difference in wet days,,1,1,differanse i våte dager,"Endring i antall dager med nedbør over eller lik 1 mm (pr>=1 mm) mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. ","Change in the number of days with precipitation exceeding 1 mm (pr>1 mm) for year or season, between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. ",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i våte dager for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal difference in wet days averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.","Julia Lutz, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > PRECIPITATION INDICES, GCMDSK:EARTH SCIENCE > ATMOSPHERE > PRECIPITATION, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
change-sdii,change in wet day precipitation amount,,%,,endring i nedbørsum på våte dager,"Prosentvis endring i gjennomsnittlig nedbørsum på våte dager (pr >= 1mm) gitt som mm/døgn mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. ","Percentage change in mean precipitation sum on wet days (pr >= 1mm) given as mm/day for year or season, between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. ",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"endring i nedbørsum på våte dager for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal change in wet day precipitation amount averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.","Julia Lutz, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > PRECIPITATION INDICES, GCMDSK:EARTH SCIENCE > ATMOSPHERE > PRECIPITATION, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-pr95p,difference in very wet days,,1,95,differanse i veldig våte dager,"Endring i antall dager med nedbør over 95 persentilen for referanseperioden og hele året (pr>95p) mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. ","Change in the number of days with precipitation exceeding the 95 percentile for the reference period and for the whole year (pr>95p) for year or season, between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. ",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i veldig våte dager for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal difference in very wet days averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.","Julia Lutz, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > PRECIPITATION INDICES, GCMDSK:EARTH SCIENCE > ATMOSPHERE > PRECIPITATION, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
