attr_typename,data variables,data variables,data variables,variable:threshold,data variables,global,global,global,global,global,global,global,global,global,global,global,global,global
tasmin,minimum air temperature,air_temperature,degC,,minimumstemperatur,"Gjennomsnittet av hvert døgns laveste lufttemperatur (ca 2 meter over bakken) for år eller sesong, for perioden 1991-2020, for 1x1 km romlig oppløsning.","Average of each day's lowest air temperature (approx. 2 meters above the ground) for year or season, for the period 1991-2020, at a 1x1 km spatial resolution.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"minimumstemperatur for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal minimum air temperature averaged over the period 1991–2020.,"Irene Brox Nilsen, Helga Therese Tilley Tajet","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Meteorological Institute (MET Norway)","climatedata@nve.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC TEMPERATURE > SURFACE TEMPERATURE > MAXIMUM/MINIMUM TEMPERATURE > 24 HOUR MINIMUM TEMPERATURE, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
dtr,daily air temperature range,,degC,,døgnlig temperaturspenn,"Gjennomsnittlig forskjell mellom minimumstemperatur og maximumstemperatur (ca 2 meter over bakken) for år eller sesong, for perioden 1991-2020, for 1x1 km romlig oppløsning.","Average difference between maximum and minimum temperature (approx. 2 meters above the ground) for year or season, for the period 1991-2020, at a 1x1 km spatial resolution. ",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"døgnlig temperaturspenn for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal daily air temperature range averaged over the period 1991–2020.,"Irene Brox Nilsen, Helga Therese Tilley Tajet","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Meteorological Institute (MET Norway)","climatedata@nve.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
dzc,days with zero-crossings,,1,0,nullgradspasseringer,"Antall dager som lufttemperaturen krysser null grader (tasmax>0 og tasmin<0) for år eller sesong, for perioden 1991-2020, for 1x1 km romlig oppløsning. ","Number of days with air temperature crossing zero degrees (tasmax>0 og tasmin<0) for year or season, for the period 1991-2020, at a 1x1 km spatial resolution.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"nullgradspasseringer for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal {$long_name} averaged over the period 1991–2020.,"Irene Brox Nilsen, Helga Therese Tilley Tajet","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Meteorological Institute (MET Norway)","climatedata@nve.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
fd,frost days ,number_of_days_with_air_temperature_below_threshold,1,0,frostdager,"Antall dager med minimumstemperatur under null (tasmin<=0 °C) for perioden 1991-2020, for 1x1 km romlig oppløsning.","Number of days with minimum temperature below zero (tasmin<=0 °C) for the period 1991-2020, at a 1x1 km spatial resolution. ",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"frostdager for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal days with zero-crossings averaged over the period 1991–2020.,"Irene Brox Nilsen, Helga Therese Tilley Tajet","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Meteorological Institute (MET Norway)","climatedata@nve.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
tasmin20ge,tropical nights ,number_of_days_with_air_temperature_above_threshold,1,20,tropenattsdøgn,"Antall døgn med minimumstemperatur over eller lik 20 grader (tasmin>=20 °C) for perioden 1991-2020, for 1x1 km romlig oppløsning.","Number of days with minimum temperature above or equal to 20 degrees (tasmin>=20 °C) for the period 1991-2020, at a 1x1 km spatial resolution.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"tropenattsdøgn for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal tropical nights averaged over the period 1991–2020.,"Irene Brox Nilsen, Helga Therese Tilley Tajet","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Meteorological Institute (MET Norway)","climatedata@nve.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
tasmax20ge,nordic summer days,number_of_days_with_air_temperature_above_threshold,1,20,nordiske sommerdager,"Antall dager med maksimumstemperatur over eller lik 20 grader (tasmax>=20 °C) for perioden 1991-2020, for 1x1 km romlig oppløsning.","Number of days with maximum temperature above or equal to 20 degrees (tasmax>=20 °C) for the period 1991-2020, at a 1x1 km spatial resolution.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"nordiske sommerdager for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal nordic summer days averaged over the period 1991–2020.,"Irene Brox Nilsen, Helga Therese Tilley Tajet","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Meteorological Institute (MET Norway)","climatedata@nve.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
norheatwave,norwegian heatwave events ,,1,27,norske hetebølger,"Antall hendelser med maksimumstemperatur over eller lik 27 grader (tasmax>=27°C) fem dager på rad for perioden 1991-2020, for 1x1 km romlig oppløsning.","Number of events with maximum temperature above or equal to 27 degrees (tasmax>=27°C) five days in a row for the period 1991-2020, at a 1x1 km spatial resolution.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"norske hetebølger for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal norwegian heatwave events averaged over the period 1991–2020.,Helga Therese Tilley Tajet,Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > ATMOSPHERE > WEATHER EVENTS > HEAT WAVE, GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
pr,precipitation amount,precipitation_amount,kg m-2,,nedbørsum,"Gjennomsnittlig nedbørsum for år eller sesong, for perioden 1991-2020, for 1x1 km romlig oppløsning. (kg m-2 tilsvarer mm)","Mean precipitation sum for year or season, for the period 1991-2020, at a 1x1 km spatial resolution. kg m-2 equals mm.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"nedbørsum for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal precipitation amount averaged over the period 1991–2020.,"Ole Einar Tveito, Julia Lutz","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > PRECIPITATION INDICES, GCMDSK:EARTH SCIENCE > ATMOSPHERE > PRECIPITATION, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
pr1mm,wet days,number_of_wet_days,1,1,våte dager,"Antall dager med nedbør over eller lik 1 mm (pr>=1 mm) for år eller sesong, for perioden 1991-2020, for 1x1 km romlig oppløsning.","Number of days with precipitation exceeding 1 mm (pr>1 mm) for year or season, for the period 1991-2020, at a 1x1 km spatial resolution.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"våte dager for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal wet days averaged over the period 1991–2020.,"Julia Lutz, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > PRECIPITATION INDICES, GCMDSK:EARTH SCIENCE > ATMOSPHERE > PRECIPITATION, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
sdii,wet day precipitation amount,simple_daily_intensity,kg m-2,,nedbørmengde på våte dager,"Gjennomsnittlig nedbørsum på våte dager (pr >= 1mm) gitt som mm/døgn for perioden 1991-2020, for år eller sesong, for 1x1 km romlig oppløsning. (kg m-2 tilsvarer mm) ","Mean precipitation sum on wet days (pr >= 1mm) given as mm/day for the period 1991-2020, for year or season, at a 1x1 km spatial resolution. (kg m-2 equals mm)",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"nedbørmengde på våte dager for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal wet day precipitation amount averaged over the period 1991–2020.,"Julia Lutz, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > PRECIPITATION INDICES, GCMDSK:EARTH SCIENCE > ATMOSPHERE > PRECIPITATION, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
pr95ptot,precipitation fraction due to very wet days ,precipitation_percent_due_to_R95p_days,%,95,nedbørandel fra veldig våte dager,"Prosentandel av nedbør på svært våte dager (antall dager med nedbør over 95-persentilen) for år eller sesong, for perioden 1991-2020, for 1x1 km romlig oppløsning.","Percentage fraction of precipitation on very wet days (number of days with precipitation exceeding the 95 percentile) for year or season, for the period 1991-2020, at a 1x1 km spatial resolution.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"nedbørandel fra veldig våte dager for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal precipitation fraction due to very wet days averaged over the period 1991–2020.,"Julia Lutz, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > PRECIPITATION INDICES, GCMDSK:EARTH SCIENCE > ATMOSPHERE > PRECIPITATION, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
pr997,very heavy precipitation,precipitation_percentile_99point7_of_reference_period,kg m-2,99.7,svært kraftig nedbør,"99,7 persentil for døgnnedbør for år eller sesong, for perioden 1991-2020, for 1x1 km romlig oppløsning. (kg m-2 tilsvarer mm)","99.7 percentile of daily precipitation for year or season, for the period 1991-2020, at a 1x1 km spatial resolution. kg m-2 equals mm.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"svært kraftig nedbør for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal very heavy precipitation averaged over the period 1991–2020.,"Julia Lutz, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > PRECIPITATION INDICES, GCMDSK:EARTH SCIENCE > ATMOSPHERE > PRECIPITATION, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
pr20mm,days with heavy precipitation ,very_heavy_precipitation_days,1,20,døgn med kraftig nedbør,"Antall dager med nedbør over eller lik 20 mm (pr>=20mm) for år eller sesong, for perioden 1991-2020, for 1x1 km romlig oppløsning.","Number of days with daily precipitation above or equal to 20 mm (pr>=20mm) for year or season, for the period 1991-2020, at a 1x1 km spatial resolution.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"dager med kraftig nedbør for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal days with heavy precipitation averaged over the period 1991–2020.,"Julia Lutz, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > PRECIPITATION INDICES, GCMDSK:EARTH SCIENCE > ATMOSPHERE > PRECIPITATION, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
prmax5day,maximum 5-day precipitation amount,highest_five_day_precipitation_amount,kg m-2,,høyeste femdagers nedbørsum,"Høyeste årlige nedbørmengde i løpet av fem påfølgende dager for perioden 1991-2020, for 1x1 km romlig oppløsning. (kg m-2 tilsvarer mm)","Highest annual precipitation amount over five consecutive days for the period 1991-2020, at a 1x1 km spatial resolution. kg m-2 equals mm.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"høyeste femdagers nedbørsum for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal maximum 5-day precipitation amount averaged over the period 1991–2020.,"Julia Lutz, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > PRECIPITATION INDICES, GCMDSK:EARTH SCIENCE > ATMOSPHERE > PRECIPITATION, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
sfcWind,mean wind speed,wind_speed,m/s,,middelvind,"Gjennomsnittlig vind (ca 10 meter over bakken) for år eller sesong, for perioden 1991-2020, for 1x1 km romlig oppløsning.","Mean wind speed (ca 10 meters above ground) for year or season, for the period 1991-2020, at a 1x1 km spatial resolution.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"middelvind for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal mean wind speed averaged over the period 1991–2020.,"Jan Erik Haugen, Cristian Lussana","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WINDS > WIND INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
sfcWind99,strong wind,,m/s,99,kraftig vind,"99 persentil for døgnmiddelvind for år eller sesong, for perioden 1991-2020, for 1x1 km romlig oppløsning.","99 percentile of daily wind speed, for the period 1991-2020, at a 1x1 km spatial resolution.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"kraftig vind for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal strong wind averaged over the period 1991–2020.,"Jan Erik Haugen, Cristian Lussana","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WINDS > WIND INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
sfcWind997,very strong wind,,m/s,99.7,svært kraftig vind,"99,7 persentil for døgnmiddelvind for år eller sesong, for perioden 1991-2020, for 1x1 km romlig oppløsning.","99.7 percentile of daily wind speed, for the period 1991-2020, at a 1x1 km spatial resolution.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"svært kraftig vind for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal very strong wind averaged over the period 1991–2020.,"Jan Erik Haugen, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WINDS > WIND INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
sfcWind100yrRP,100-year return level for wind speed,,m/s,,100-års returverdi for vind,"Gjennomsnittlig 100-år returverdi av døgnmiddelvind for år eller sesong, for perioden 1991-2020, for 1x1 km romlig oppløsning.","Average 100-year return value of daily mean wind speed, for the period 1991-2020, at a 1x1 km spatial resolution.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"100-års returverdi for vind for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal 100-year return level for wind speed averaged over the period 1991–2020.,"Jan Erik Haugen, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WINDS > WIND INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
sfcWind10ms,windy days,,1,10,døgn med mye vind,"Antall dager med middelvind over 10 m/s (sfc > 10m/s) for år eller sesong, for perioden 1991-2020, for 1x1 km romlig oppløsning.","Number of days with mean wind speed above 10 m/s, for the period 1991-2020, at a 1x1 km spatial resolution.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"dager med mye vind for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal windy days averaged over the period 1991–2020.,"Jan Erik Haugen, Cristian Lussana","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WINDS > WIND INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
